nazwa,Substancja czynna,postac,dawka,Zawartosc opakowania,Kod EAN lub inny kod odpowiadajacy kodowi EAN,Poziom odplatnosci,Zakres wskazan objetych refundacja,Wysokosc doplaty swiadczeniobiorcy
Gabapentin Teva,Gabapentinum, kaps. twarde, 400 mg,100 szt. (10 blist.po 10 szt.),05909990339600,ryczalt,Padaczka oporna na leczenie,"3,20"
Gabapentin Teva,Gabapentinum, tabl. powl., 600 mg,100 szt. (10 blist.po 10 szt.),05909990338542,ryczalt,Padaczka oporna na leczenie,"3,56"
Gabapentin Teva,Gabapentinum, tabl. powl., 800 mg,100 szt. (10 blist.po 10 szt.),05909990338658,ryczalt,Padaczka oporna na leczenie,"5,34"
Neuran 100,Gabapentinum, kaps. twarde, 100 mg,1 but.po 100 szt.,05909990651535,ryczalt,Padaczka oporna na leczenie,"9,61"
Neuran 300,Gabapentinum, kaps. twarde, 300 mg,1 but.po 100 szt.,05909990651566,ryczalt,Padaczka oporna na leczenie,"3,20"
Neuran 400,Gabapentinum, kaps. twarde, 400 mg,1 but.po 100 szt.,05909990651603,ryczalt,Padaczka oporna na leczenie,"3,20"
Neurontin 100,Gabapentinum, kaps. twarde, 100 mg,100 szt. (10 blist.po 10 szt.),05909990769216,ryczalt,Padaczka oporna na leczenie,"9,55"
Neurontin 300,Gabapentinum, kaps. twarde, 300 mg,100 szt. (10 blist.po 10 szt.),05909990769315,ryczalt,Padaczka oporna na leczenie,"18,51"
Neurontin 400,Gabapentinum, kaps. twarde, 400 mg,100 szt. (10 blist.po 10 szt.),05909990769414,ryczalt,Padaczka oporna na leczenie,"20,75"
Neurontin 600,Gabapentinum, tabl. powl., 600 mg,100 szt. (10 blist.po 10 szt.),05909991017422,ryczalt,Padaczka oporna na leczenie,"25,07"
Neurontin 800,Gabapentinum, tabl. powl., 800 mg,100 szt. (10 blist.po 10 szt.),05909991017521,ryczalt,Padaczka oporna na leczenie,"11,92"
Symleptic,Gabapentinum, kaps. twarde, 100 mg,100 szt. (10 blist.po 10 szt.),05909990685554,ryczalt,Padaczka oporna na leczenie,"4,44"
Symleptic,Gabapentinum, kaps. twarde, 300 mg,100 szt. (10 blist.po 10 szt.),05909990685561,ryczalt,Padaczka oporna na leczenie,"3,20"
Orgalutran,Ganirelixum, roztwor do wstrzykiwan, 0.25 mg,1 amp.-strz.,05909990880911,50p,"Zapobieganie przedwczesnej owulacji u pacjentek w wieku ponizej 40 roku zycia, poddawanych kontrolowanej hiperstymulacji jajnikow - refundacja do 3 cykli","62,60"
Gentamicin KRKA,Gentamicinum, roztwor do wstrzykiwan i infuzji, 40 mg/ml,10 amp.po 1 ml,05909990095711,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,27"
Gentamicin KRKA,Gentamicinum, roztwor do wstrzykiwan i infuzji, 40 mg/ml,10 amp.po 2 ml,05909990095728,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,59"
Gentamicin WZF 0,Gentamicinum,3p, krople do oczu, 3 mg/ml,05909990092413,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,31"
Clazicon,Gliclazidum, tabletki o zmodyfikowanym uwalnianiu, 30 mg,60 szt.,05909991267155,ryczalt,Cukrzyca,"7,80"
Clazicon,Gliclazidum, tabletki o zmodyfikowanym uwalnianiu, 60 mg,30 szt.,05909991267162,ryczalt,Cukrzyca,"7,80"
Diabrezide,Gliclazidum, tabl., 80 mg,40 szt. (2 blist.po 20 szt.),05909990359912,ryczalt,Cukrzyca,"8,84"
Diagen,Gliclazidum, tabletki o zmodyfikowanym uwalnianiu, 60 mg,30 szt.,05909991216023,ryczalt,Cukrzyca,"6,66"
Diaprel MR,Gliclazidum, tabl. o zmodyfikowanym uwalnianiu, 30 mg,60 szt. (2 blist.po 30 szt.),05909990443017,ryczalt,Cukrzyca,"19,54"
Diazidan,Gliclazidum, tabl., 80 mg,60 szt. (3 blist.po 20 szt.),05909990911127,ryczalt,Cukrzyca,"11,77"
Gliclada,Gliclazidum, tabl. o zmodyfikowanym uwalnianiu, 30 mg,120 tabl.,05909991200237,ryczalt,Cukrzyca,"21,54"
Gliclada,Gliclazidum, tabl. o zmodyfikowanym uwalnianiu, 30 mg,60 szt.,05909990647224,ryczalt,Cukrzyca,"11,20"
Gliclada,Gliclazidum, tabl. o zmodyfikowanym uwalnianiu, 30 mg,90 szt.,05909990647231,ryczalt,Cukrzyca,"16,55"
Gliclada,Gliclazidum, tabl. o zmodyfikowanym uwalnianiu, 60 mg,30 szt.,05909991056100,ryczalt,Cukrzyca,"12,33"
Gliclada,Gliclazidum, tabl. o zmodyfikowanym uwalnianiu, 60 mg,60 szt.,05909991056131,ryczalt,Cukrzyca,"23,92"
Gliclada,Gliclazidum, tabletki o przedluzonym uwalnianiu, 90 mg,30 tabl.,05909991267230,ryczalt,Cukrzyca,"16,50"
Gliclastad,Gliclazidum, tabl. o przedluzonym uwalnianiu, 30 mg,60 tabl.,05909991004002,ryczalt,Cukrzyca,"7,64"
Gliclastad,Gliclazidum, tabl. o przedluzonym uwalnianiu, 30 mg,90 tabl.,05909991004026,ryczalt,Cukrzyca,"14,85"
Gliclazide Zentiva,Gliclazidum, tabletki o zmodyfikowanym uwalnianiu, 60 mg,30 szt.,05909991205867,ryczalt,Cukrzyca,"7,74"
Glikuron,Gliclazidum, tabletki o przedluzonym uwalnianiu, 60 mg,30 szt.,05909991256548,ryczalt,Cukrzyca,"7,23"
Glikuron,Gliclazidum, tabletki o przedluzonym uwalnianiu, 60 mg,60 szt.,05909991263171,ryczalt,Cukrzyca,"13,72"
Oziclide MR,Gliclazidum, tabletki o zmodyfikowanym uwalnianiu, 60 mg,30 tabl.,05909991226299,ryczalt,Cukrzyca,"11,15"
Oziclide MR,Gliclazidum, tabletki o zmodyfikowanym uwalnianiu, 60 mg,60 tabl.,05909991226305,ryczalt,Cukrzyca,"21,57"
Salson,Gliclazidum, tabletki o zmodyfikowanym uwalnianiu, 60 mg,30 szt.,05909991267186,ryczalt,Cukrzyca,"6,95"
Salson,Gliclazidum, tabletki o zmodyfikowanym uwalnianiu, 60 mg,60 szt.,05909991267193,ryczalt,Cukrzyca,"13,15"
Symazide MR,Gliclazidum, tabl. o zmodyfikowanym uwalnianiu, 30 mg,60 tabl.,05909990828340,ryczalt,Cukrzyca,"12,33"
Symazide MR 30,Gliclazidum, tabletki o zmodyfikowanym uwalnianiu, 30 mg,60 szt.,05909991291648,ryczalt,Cukrzyca,"6,78"
Symazide MR 60,Gliclazidum, tabl. o zmodyfikowanym uwalnianiu, 60 mg,30 tabl.,05909991257392,ryczalt,Cukrzyca,"7,64"
Symazide MR 60,Gliclazidum, tabletki o zmodyfikowanym uwalnianiu, 60 mg,60 szt.,05909991257408,ryczalt,Cukrzyca,"12,82"
Amaryl 1,Glimepiridum, tabl., 1 mg,30 szt.,05909990744817,ryczalt,Cukrzyca,"5,30"
Amaryl 2,Glimepiridum, tabl., 2 mg,30 szt.,05909990744916,ryczalt,Cukrzyca,"5,75"
Amaryl 3,Glimepiridum, tabl., 3 mg,30 szt.,05909990745012,ryczalt,Cukrzyca,"9,75"
Amaryl 4,Glimepiridum, tabl., 4 mg,30 szt.,05909990745111,ryczalt,Cukrzyca,"6,91"
Diaril,Glimepiridum, tabl., 1 mg,30 szt. (3 blist.po 10 szt.),05909990566082,ryczalt,Cukrzyca,"4,77"
Diaril,Glimepiridum, tabl., 2 mg,30 szt. (3 blist.po 10 szt.),05909990566105,ryczalt,Cukrzyca,"4,63"
Diaril,Glimepiridum, tabl., 3 mg,30 szt. (3 blist.po 10 szt.),05909990566129,ryczalt,Cukrzyca,"6,23"
Diaril,Glimepiridum, tabl., 4 mg,30 szt. (3 blist.po 10 szt.),05909990566143,ryczalt,Cukrzyca,"6,86"
Glibetic 1 mg,Glimepiridum, tabl., 1 mg,30 szt. (3 blist.po 10 szt.),05909991097615,ryczalt,Cukrzyca,"4,53"
Glibetic 2 mg,Glimepiridum, tabl., 2 mg,30 szt. (3 blist.po 10 szt.),05909991097516,ryczalt,Cukrzyca,"5,83"
Glibetic 3 mg,Glimepiridum, tabl., 3 mg,30 szt. (3 blist.po 10 szt.),05909991097417,ryczalt,Cukrzyca,"8,27"
Glibetic 4 mg,Glimepiridum, tabl., 4 mg,30 szt. (3 blist.po 10 szt.),05909991097318,ryczalt,Cukrzyca,"8,94"
Glidiamid,Glimepiridum, tabl., 2 mg,30 szt. (3 blist.po 10 szt.),05909990430543,ryczalt,Cukrzyca,"4,23"
Glidiamid,Glimepiridum, tabl., 4 mg,30 szt. (3 blist.po 10 szt.),05909990430567,ryczalt,Cukrzyca,"7,65"
GlimeHexal 1,Glimepiridum, tabl., 1 mg,30 szt. (3 blist.po 10 szt.),05909990337453,ryczalt,Cukrzyca,"3,58"
GlimeHexal 2,Glimepiridum, tabl., 2 mg,30 szt. (3 blist.po 10 szt.),05909990337521,ryczalt,Cukrzyca,"3,83"
GlimeHexal 3,Glimepiridum, tabl., 3 mg,30 szt. (3 blist.po 10 szt.),05909990338078,ryczalt,Cukrzyca,"5,50"
GlimeHexal 4,Glimepiridum, tabl., 4 mg,30 szt. (3 blist.po 10 szt.),05909990338146,ryczalt,Cukrzyca,"6,86"
GlimeHexal 6,Glimepiridum, tabl., 6 mg,30 szt. (3 blist.po 10 szt.),05909990338207,ryczalt,Cukrzyca,"10,19"
Glimepiride Aurovitas,Glimepiridum, tabl., 2 mg,30 szt.,05909991365790,ryczalt,Cukrzyca,"3,51"
Glimepiride Aurovitas,Glimepiridum, tabl., 3 mg,30 szt.,05909991365868,ryczalt,Cukrzyca,"5,02"
Glimepiride Aurovitas,Glimepiridum, tabl., 4 mg,30 szt.,05909991365936,ryczalt,Cukrzyca,"6,40"
Glimepiride Genoptim,Glimepiridum, tabl., 1 mg,30 szt.,05909991075378,ryczalt,Cukrzyca,"3,20"
Glimepiride Genoptim,Glimepiridum, tabl., 2 mg,30 szt.,05909991075590,ryczalt,Cukrzyca,"3,20"
Glimepiride Genoptim,Glimepiridum, tabl., 3 mg,30 szt.,05909991075798,ryczalt,Cukrzyca,"4,80"
Glimepiride Genoptim,Glimepiridum, tabl., 4 mg,30 szt.,05909991075996,ryczalt,Cukrzyca,"6,40"
Glimorion,Glimepiridum, tabl., 1 mg,30 szt.,05909991325282,ryczalt,Cukrzyca,"3,20"
Glimorion,Glimepiridum, tabl., 2 mg,30 szt.,05909991325305,ryczalt,Cukrzyca,"3,20"
Glimorion,Glimepiridum, tabl., 3 mg,30 szt.,05909991325312,ryczalt,Cukrzyca,"4,80"
Glimorion,Glimepiridum, tabl., 4 mg,30 szt.,05909991325329,ryczalt,Cukrzyca,"6,40"
Glitoprel,Glimepiridum, tabl., 1 mg,30 szt. (3 blist.po 10 szt.),05909990085903,ryczalt,Cukrzyca,"3,73"
Glitoprel,Glimepiridum, tabl., 2 mg,30 szt. (3 blist.po 10 szt.),05909990085927,ryczalt,Cukrzyca,"3,55"
Glitoprel,Glimepiridum, tabl., 3 mg,30 szt. (3 blist.po 10 szt.),05909990085934,ryczalt,Cukrzyca,"5,11"
Glitoprel,Glimepiridum, tabl., 4 mg,30 szt. (3 blist.po 10 szt.),05909990085941,ryczalt,Cukrzyca,"6,55"
Symglic,Glimepiridum, tabl., 1 mg,30 szt. (3 blist.po 10 szt.),05909990570348,ryczalt,Cukrzyca,"3,32"
Symglic,Glimepiridum, tabl., 2 mg,30 szt. (3 blist.po 10 szt.),05909990570355,ryczalt,Cukrzyca,"3,44"
Symglic,Glimepiridum, tabl., 3 mg,30 szt. (3 blist.po 10 szt.),05909990570362,ryczalt,Cukrzyca,"4,80"
Symglic,Glimepiridum, tabl., 4 mg,30 szt. (3 blist.po 10 szt.),05909990573196,ryczalt,Cukrzyca,"6,40"
Symglic,Glimepiridum, tabl., 6 mg,30 szt. (3 blist.po 10 szt.),05909990570379,ryczalt,Cukrzyca,"9,60"
Glipizide BP,Glipizidum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990791712,ryczalt,Cukrzyca,"6,08"
GlucaGen 1 mg HypoKit,Glucagonum, proszek i rozpuszczalnik do sporzadzania roztworu do wstrzykiwan, 1 mg,1 fiol.,05909990693313,ryczalt,Cukrzyca,"3,20"
Nitromint,Glyceroli trinitras, aerozol podjezykowy, roztwor,11 g (200 daw.),05909990156825,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,41"
Nitromint,Glyceroli trinitras, aerozol podjezykowy, roztwor,11 g (200 daw.),05909991223649,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,41"
Sustonit,Glyceroli trinitras, tabl. o przedluzonym uwalnianiu, 6.5 mg,30 tabl. (3 blist.po 10 szt.),05909990183036,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,16"
Seebri Breezhaler,Glycopyrronii bromidum, proszek do inhalacji w kaps. twardej, 44 ug,30x1 kapsulka (dawka pojedyncza) + 1 inhalator,05909991000882,30p,Przewlekla obturacyjna choroba pluc - leczenie podtrzymujace u pacjentow powyzej 18 roku zycia,"52,89"
Reseligo,Goserelinum, implant w amp.-strz., 10.8 mg,1 szt.,05909991256210,ryczalt,Nowotwory zlosliwe - Rak prostaty,"9,00"
Reseligo,Goserelinum, implant w amp.-strz., 3.6 mg,1 szt.,05909991256197,ryczalt,Nowotwory zlosliwe - Rak piersi i rak trzonu macicy. Nowotwory zlosliwe - Rak prostaty,"3,20"
Reseligo,Goserelinum, implant w amp.-strz., 3.6 mg,1 szt.,05909991256197,ryczalt,"Zahamowanie czynnosci przysadki u pacjentek w wieku ponizej 40 roku zycia, wˇprzygotowaniu do kontrolowanej hiperstymulacji jajnikow - refundacja do 3 cykli","3,20"
Xanderla,Goserelinum, implant w amp.-strz., 3.6 mg,1 amp.-strzyk.,05909991335564,ryczalt,"Nowotwory zlosliwe - Rak piersi i rak trzonu macicy. Nowotwory zlosliwe - Rak prostaty. Zahamowanie czynnosci przysadki u pacjentek w wieku ponizej 40 roku zycia, wˇprzygotowaniu do kontrolowanej hiperstymulacji jajnikow - refundacja do 3 cykli","8,19"
Xanderla LA,Goserelinum, implant w amp.-strz., 10.8 mg,1 amp.-strzyk.,05909991335595,ryczalt,Nowotwory zlosliwe - Rak prostaty,"8,96"
Zoladex,Goserelinum, implant podskorny, 3.6 mg,1 amp.-strz.,05909990082315,ryczalt,Nowotwory zlosliwe - Rak piersi i rak trzonu macicy. Nowotwory zlosliwe - Rak prostaty.,"88,25"
Zoladex,Goserelinum, implant podskorny, 3.6 mg,1 amp.-strz.,05909990082315,ryczalt,"Zahamowanie czynnosci przysadki u pacjentek w wieku ponizej 40 roku zycia, wˇprzygotowaniu do kontrolowanej hiperstymulacji jajnikow - refundacja do 3 cykli","88,25"
Zoladex LA,Goserelinum, implant podskorny, 10.8 mg,1 amp.-strz.,05909990783212,ryczalt,Nowotwory zlosliwe - Rak prostaty,"320,08"
Decaldol,Haloperidolum, roztwor do wstrzykiwan, 50 mg/ml,5 amp.po 1 ml,05909990077311,30p,x,"10,69"
Decaldol,Haloperidolum, roztwor do wstrzykiwan, 50 mg/ml,5 amp.po 1 ml,05909990077311,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"0,00"
Haloperidol UNIA,Haloperidolum, krople doustne, roztwor,10 ml,05909990239412,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,36"
Haloperidol UNIA,Haloperidolum, krople doustne, roztwor,10 ml,05909990239412,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"0,00"
Haloperidol WZF,Haloperidolum, tabl., 1 mg,40 tabl. (2 blist.po 20 szt.),05909990104017,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,83"
Haloperidol WZF,Haloperidolum, tabl., 1 mg,40 tabl. (2 blist.po 20 szt.),05909990104017,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"1,67"
Haloperidol WZF,Haloperidolum, tabl., 5 mg,30 tabl. (2 blist.po 15 szt.),05909990722617,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,33"
Haloperidol WZF,Haloperidolum, tabl., 5 mg,30 tabl. (2 blist.po 15 szt.),05909990722617,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"0,00"
Haloperidol WZF 0,Haloperidolum,2p, krople doustne, 2 mg/ml,05909990969319,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,66"
Haloperidol WZF 0,Haloperidolum,2p, krople doustne, 2 mg/ml,05909990969319,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"1,30"
Laticort 0,Hydrocortisoni butyras,1p, plyn na skore,20 ml,05909990229215,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,58"
Hydrocortisonum AFP,Hydrocortisonum, krem, 10 mg/g,1 tuba po 15 g,05909990950317,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,23"
Hydrocortisonum-SF,Hydrocortisonum, tabl., 10 mg,60 szt.,05909991218140,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,47"
Hydroxycarbamid Teva,Hydroxycarbamidum, kaps., 500 mg,100 szt. (1 but.po 250 ml),05909990836758,bezplatny do limitu,Nowotwory zlosliwe,"0,00"
Hydroxyurea medac,Hydroxycarbamidum, kaps. twarde, 500 mg,100 szt.,05909990944927,bezplatny do limitu,Nowotwory zlosliwe,"22,62"
Ibuprofen Hasco,Ibuprofenum, kaps. miekkie, 200 mg,60 szt.,05909990853540,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,25"
Ibuprofen Polfarmex,Ibuprofenum, tabl. powl., 200 mg,60 szt. (6 blist.po 10 szt.),05909990830732,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,16"
Ibuprofen-Pabi,Ibuprofenum, tabl. drazowane, 200 mg,60 szt. (3 blist.po 20 szt.),05909990132928,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,01"
Firazyr,Ikatybant, roztwor do wstrzykiwan, 10 mg/ml,1 amp.-strz.po 3 ml,05909990740635,ryczalt,Leczenie ostrych zagrazajacych zyciu napadow obrzeku naczynioruchowego u chorych doroslych na dziedziczny obrzek naczynioruchowy wywolany niedoborem inhibitora esterazy C1,"3,20"
Tanatril,Imidaprilum, tabl., 10 mg,28 tabl. (2 blist.po 14 szt.),05909991069919,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"18,39"
Tanatril,Imidaprilum, tabl., 20 mg,28 tabl. (2 blist.po 14 szt.),05909991070014,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"31,63"
Tanatril,Imidaprilum, tabl., 5 mg,28 tabl. (2 blist.po 14 szt.),05909991069810,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,96"
Ultibro Breezhaler,Indacaterolum + Glycopyrronii bromidum, proszek do inhalacji w kaps. twardej, 85+43 ug,30 szt. + inhal.,05909991080921,30p,Przewlekla obturacyjna choroba pluc - leczenie podtrzymujace u pacjentow powyzej 18 roku zycia,"52,56"
Diuresin SR,Indapamidum, tabl. powl. o przedluzonym uwalnianiu, 1.5 mg,30 szt. (3 blist.po 10 szt.),05909990975815,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,81"
Diuresin SR,Indapamidum, tabl. powl. o przedluzonym uwalnianiu, 1.5 mg,60 szt.,05909991276621,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,26"
Indapamide KRKA,Indapamidum, tabl. o przedluzonym uwalnianiu, 1.5 mg,30 szt.,05909990957125,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,41"
Indapamide SR,Indapamidum, tabl. o przedluzonym uwalnianiu, 1.5 mg,30 szt.,05909990644933,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,04"
Indapamide SR Genoptim,Indapamidum, tabl. o przedluzonym uwalnianiu, 1.5 mg,30 tabl.,05909990799398,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,17"
Indapen,Indapamidum, tabl. powl., 2.5 mg,20 szt.,05909990863013,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,53"
Indapen SR,Indapamidum, tabl. o przedluzonym uwalnianiu, 1.5 mg,30 tabl. (3 blist.po 10 szt.),05909990665907,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,46"
Indapres,Indapamidum, tabl. powl., 2.5 mg,30 szt.,05909990223121,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,99"
Indix SR,Indapamidum, tabl. o przedl. uwalnianiu, 1.5 mg,30 szt.,05909991025014,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,41"
Indix SR,Indapamidum, tabletki o przedluzonym uwalnianiu, 1.5 mg,90 tabl.,05908289660401,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,17"
Ipres long 1,Indapamidum,5, tabl. o przedluzonym uwalnianiu,30 szt. (3 blist.po 10 szt.),05909990012688,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,89"
Ivipamid,Indapamidum, tabl. o przedluzonym uwalnianiu, 1.5 mg,30 szt.,05909990834730,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"1,95"
Opamid,Indapamidum, tabl. o przedluzonym uwalnianiu, 1.5 mg,30 szt. (3 blist.po 10 szt.),05909990770182,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,64"
Rawel SR,Indapamidum, tabl. powl. o przedluzonym uwalnianiu, 1.5 mg,30 szt. (3 blist.po 10 szt.),05909990424801,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,24"
Rawel SR,Indapamidum, tabl. powl. o przedluzonym uwalnianiu, 1.5 mg,60 szt. (6 blist.po 10 szt.),05909990424849,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,16"
Symapamid SR,Indapamidum, tabl. o przedluzonym uwalnianiu, 1.5 mg,30 szt. (3 blist.po 10 szt.),05909990734993,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,22"
Tertensif SR,Indapamidum, tabl. powl. o przedluzonym uwalnianiu, 1.5 mg,30 szt. (1 blist.po 30 szt.),05909990738212,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,81"
Tertens-AM,Indapamidum + Amlodipinum, tabl. o zmodyfikowanym uwalnianiu,1,30 szt.,05909991092566,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,39"
Tertens-AM,Indapamidum + Amlodipinum, tabl. o zmodyfikowanym uwalnianiu,1,30 szt.,05909991092597,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,26"
Berinert 1500,"Inhibitor C1-esterazy, ludzki", proszek i rozpuszczalnik do sporzadzania roztworu do wstrzykiwan, 1500 j.m.,1 fiol.z proszkiem + 1 fiol.z woda do wstrzykiwan po 3 ml,05909991213053,ryczalt,"Przerywanie ostrego, zagrazajacego zyciu ataku wrodzonego obrzeku naczynioruchowego, obejmujacego gardlo, krtan lub jame brzuszna. Przedzabiegowe zapobieganie stanom ostrym wrodzonego obrzeku naczynioruchowego (zabiegi stomatologiczne, zabiegi na twarzoczaszce, zabiegi chirurgiczne, zabiegi diagnostyczne z uzyciem instrumentow, porod)","3,20"
Berinert 500,"Inhibitor C1-esterazy, ludzki", proszek i rozpuszczalnik do sporzadzania roztworu do wstrzykiwan lub infuzji, 500 j.m.,1 fiol. z prosz. + 1 fiol. z rozp. + 1 zestaw do podawania,05909990713639,ryczalt,"Przerywanie ostrego, zagrazajacego zyciu ataku wrodzonego obrzeku naczynioruchowego, obejmujacego gardlo, krtan lub jame brzuszna. Przedzabiegowe zapobieganie stanom ostrym wrodzonego obrzeku naczynioruchowego (zabiegi stomatologiczne, zabiegi na twarzoczaszce, zabiegi chirurgiczne, zabiegi diagnostyczne z uzyciem instrumentow, porod)","22,42"
